Unnamed: 0,Wikipedia movie ID,Freebase_ID,Name,Revenue,Runtime,Language_clean,Countries_clean,original_language,popularity,vote_count,vote_average,budget,collection_name,Release_year,Genres,ID,Freebase Movie ID,Character Name,Actor DOB,Actor gender,Actor height,Actor Name,Actor age at movie release,Freebase character map1,Freebase character map2,Freebase character map3,ethnicity_clean
972,,,AVH: Alien vs. Hunter,0.0,85.0,,,en,5.557,31.0,2.3,500000.0,,2007.0,"['Action', ' Horror', ' Science Fiction']",973,,,,M,,William Katt,,,,,North American
973,901421.0,/m/03n785,AVP: Alien vs. Predator,172544654.0,109.0,"['Italian', 'English']","['United States of America', 'Czech Republic', 'United Kingdom', 'Germany']",en,50.996,3654.0,5.9,70000000.0,AVP Collection,2004.0,"['Monster movie', 'Thriller', 'Science Fiction', 'Horror', 'Action/Adventure', 'Action']",974,/m/03n785,Graeme Miller,1972-01-23,M,1.73,Ewen Bremner,32.0,/m/0jt89n,/m/0h5nzhg,/m/07cc2x,European
1308,23487440.0,/m/067ghz,Alien,104931801.0,116.0,"['English', 'Spanish']","['United States of America', 'United Kingdom']",en,60.982,12083.0,8.1,11000000.0,Alien Collection,1979.0,"['Science Fiction', 'Horror', 'Adventure', 'Sci-Fi Horror', 'Creature Film', 'New Hollywood']",1309,/m/067ghz,Ellen Ripley,1949-10-08,,1.82,Sigourney Weaver,29.0,/m/0jt7sz,/m/02xd83,/m/0h96g,North American
1309,3305827.0,/m/02p78lg,Alien 2,,92.0,[],['Italy'],,,,,,,,"['Science Fiction', 'Horror']",1310,/m/02p78lg,,1954-10-02,F,1.65,Belinda Mayne,,/m/09h_qy6,,/m/0561dkb,European
1310,,,Alien 2: On Earth,0.0,84.0,,,it,5.692,43.0,3.1,0.0,,1980.0,"['Horror', ' Science Fiction']",1311,,,,,,,,,,,
1311,5787607.0,/m/0f4kmy,Alien 51,0.0,90.0,['English'],['United States of America'],en,1.617,3.0,2.7,0.0,,2004.0,"['Natural horror films', 'Science Fiction', 'Horror']",1312,/m/0f4kmy,Evelda,1965-12-30,,,Heidi Fleiss,,/m/02vd2_p,/m/0h2x24f,/m/01l46p,North American
1312,21459905.0,/m/05f2w9w,Alien Abduction,0.0,90.0,['English'],['United States of America'],en,20.702,301.0,5.7,0.0,,2005.0,"['Sci-Fi Horror', 'Science Fiction', 'Horror', 'Indie']",1313,/m/05f2w9w,Rescue Worker,1984-11-02,,,Mark Elias,20.0,/m/0gdlc21,/m/0ghfjyj,/m/0gdk0hr,
1314,,,Alien Abduction: Incident in Lake County,0.0,93.0,,,en,9.018,138.0,7.3,0.0,,1998.0,"['Drama', ' Horror', ' Science Fiction']",1315,,,,,,Benz Antoine,,,,,
1315,,,Alien Abduction: Intimate Secrets,0.0,70.0,,,en,3.084,5.0,4.0,0.0,,1996.0,"['Drama', ' Horror', ' Science Fiction']",1316,,,,F,,Darcy DeMoss,,,,,North American
1316,1699805.0,/m/05pd88,Alien Apocalypse,0.0,88.0,['English'],['United States of America'],en,5.412,58.0,3.9,0.0,,2005.0,"['Alien Film', 'Science Fiction', 'Horror', 'Dystopia', 'Television movie']",1317,/m/05pd88,,1976-11-07,,,Jonas Talkington,28.0,/m/0gcxdyj,,/m/0gcxdym,
1317,,,Alien Autopsy,0.0,78.0,,,en,0.608,0.0,0.0,0.0,,2020.0,['Horror'],1318,,,,,,Declan Donnelly,,,,,
1318,,,Alien Beach Party Massacre,0.0,92.0,,,en,0.6,0.0,0.0,0.0,,1996.0,"['Comedy', ' Horror', ' Science Fiction']",1319,,,,,,John Eineigl,,,,,
1319,,,Alien Beasts,0.0,75.0,,,en,0.6,5.0,4.4,0.0,,1991.0,"['Horror', ' Science Fiction']",1320,,,,,,Neal Dealosi,,,,,
1320,,,Alien Blood,0.0,80.0,,,en,0.918,7.0,1.3,0.0,,1999.0,"['Horror', ' Science Fiction']",1321,,,,,,Francesca Manning,,,,,
1321,7223822.0,/m/0kv0z8,Alien Contamination,,95.0,['Italian'],"['Italy', 'West Germany']",,,,,,,1980.0,"['Alien Film', 'Science Fiction', 'Horror', 'Creature Film', 'World cinema']",1322,/m/0kv0z8,Commander Ian Hubbard,1939-11-18,,,Ian McCulloch,40.0,/m/02vckxv,/m/0468k9k,/m/068lnd,
1322,,,Alien Convergence,0.0,86.0,,,en,5.927,39.0,4.2,0.0,,2017.0,"['Action', ' Horror', ' Science Fiction']",1323,,,,,,Caroline Ivari,,,,,
1323,4180145.0,/m/0bnhc8,Alien Dead,,90.0,['English'],['United States of America'],,,,,,,1980.0,"['Zombie Film', 'Science Fiction', 'Horror']",1324,/m/0bnhc8,,,,,Raymond Roberts,,/m/0jt86d,,/m/0jt852,
1324,,,Alien Dick,0.0,6.0,,,en,1.199,0.0,0.0,0.0,,2022.0,"['Comedy', ' Horror']",1325,,,,,,Gary Green,,,,,
1325,,,Alien Domicile,0.0,88.0,,,en,1.528,7.0,2.8,0.0,,2017.0,['Horror'],1326,,,,,,Elly Brown,,,,,
1326,,,Alien Domicile 2: Lot 24,0.0,75.0,,,en,1.476,2.0,1.5,0.0,,2019.0,"['Horror', ' Science Fiction']",1327,,,,,,Trenell Blanks,,,,,
1327,,,Alien Escape,0.0,85.0,,,en,1.351,3.0,3.7,0.0,,1997.0,"['Horror', ' Science Fiction']",1328,,,,,,Gail Thackray,,,,,
1328,9380065.0,/m/0286kkz,Alien Express,,120.0,['English'],['United States of America'],,,,,,,2005.0,"['Science Fiction', 'Horror']",1329,/m/0286kkz,,1940-10-16,M,1.8,Barry Corbin,64.0,/m/07ndd7b,,/m/04vcdj,North American
1329,,,Alien Factor 2: The Alien Rampage,0.0,75.0,,,en,1.136,4.0,3.9,35000.0,Alien Factor Collection,2001.0,"['Horror', ' Science Fiction']",1330,,,,,,Donna Sherman,,,,,
1330,,,Alien Goddess,0.0,107.0,,,en,0.6,0.0,0.0,0.0,,2022.0,['Horror'],1331,,,,,,Okan Akdag,,,,,
1331,,,Alien Hunger,0.0,89.0,,,en,3.62,7.0,3.6,0.0,,2017.0,"['Comedy', ' Horror', ' Science Fiction']",1332,,,,,,Krystal Banks,,,,,
1332,,,Alien Implant,0.0,75.0,,,en,3.079,13.0,5.2,1000000.0,,2017.0,"['Drama', ' Horror', ' Science Fiction']",1333,,,,,,Lisa Mueller,,,,,
1333,,,Alien Incursion,0.0,86.0,,,en,1.699,3.0,5.3,0.0,,2006.0,"['Comedy', ' Horror', ' Science Fiction', ' Thriller']",1334,,,,,,Michael Coleman,,,,,
1334,,,Alien Inside,0.0,6.0,,,es,0.656,2.0,5.0,0.0,,2015.0,['Horror'],1335,,,,M,,Kelly Blatz,,,,,North American
1335,,,Alien Invasion,0.0,82.0,,,en,4.643,20.0,3.4,0.0,,2018.0,"['Comedy', ' Horror', ' Science Fiction']",1336,,,,,,Sarah T. Cohen,,,,,
1336,,,Alien Invasion Arizona,0.0,87.0,,,en,1.666,4.0,4.3,0.0,,2007.0,"['Action', ' Horror', ' Science Fiction', ' Thriller']",1337,,,,,,Dan Southworth,,,,,
