Unnamed: 0,Wikipedia movie ID,Freebase_ID,Name,Revenue,Runtime,Language_clean,Countries_clean,original_language,popularity,vote_count,vote_average,budget,collection_name,Release_year,Genres,ID,Freebase Movie ID,Character Name,Actor DOB,Actor gender,Actor height,Actor Name,Actor age at movie release,Freebase character map1,Freebase character map2,Freebase character map3,ethnicity_clean
81,,,100 Ghost Street: The Return of Richard Speck,0.0,84.0,,,en,4.385,35.0,4.6,150.0,,2012.0,['Horror'],82,,,,,,Steve Bencich,,,,,
327,,,40 Days of Shrouded Ghost Resurrection,0.0,90.0,,,id,0.635,0.0,0.0,0.0,,2008.0,"['Horror', ' Thriller']",328,,,,,,,,,,,
522,,,A Chinese Ghost,0.0,76.0,,,ko,0.6,0.0,0.0,0.0,,1971.0,['Horror'],523,,,,M,,Leslie Cheung,,,,,Asian
523,204809.0,/m/01d22s,A Chinese Ghost Story,,95.0,"['Standard Cantonese', 'Standard Mandarin', 'Cantonese']",['Hong Kong'],,,,,,,1987.0,"['Fantasy Adventure', 'Horror', 'World cinema', 'Chinese Movies', 'Action/Adventure', 'Martial Arts Film', 'Fantasy', 'Comedy', 'Romance Film', 'Action', 'Romantic fantasy']",524,/m/01d22s,,1967-01-31,F,,Joey Wong,20.0,/m/0jsply,,/m/04n_v6,Asian
524,33610926.0,/m/025tsbx,A Chinese Ghost Story II,,104.0,"['Standard Mandarin', 'Cantonese']",['Hong Kong'],,,,,,,1990.0,"['Horror', 'World cinema', 'Action/Adventure', 'Fantasy', 'Martial Arts Film', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film', 'Action', 'Chinese Movies']",525,/m/025tsbx,,1970-06-20,F,,Michelle Reis,19.0,/m/02vcpbt,,/m/02156l,
610,,,A Ghost Story,0.0,0.0,,,en,0.6,0.0,0.0,0.0,,1964.0,"['Drama', ' Horror']",611,,,,M,,Casey Affleck,,,,,North American
611,,,A Ghost Story for Christmas: The Mezzotint,0.0,30.0,,,en,1.329,3.0,6.8,0.0,,2021.0,"['Horror', ' TV Movie']",612,,,,,,David Pugh,,,,,
612,23275083.0,/m/04yd77h,A Ghost Story of Joseon Dynasty,0.0,81.0,['Korean'],['South Korea'],ko,0.921,1.0,7.0,0.0,,1970.0,['Horror'],613,/m/04yd77h,,,,,Kang-hie Lee,,/m/0n4njh8,,/m/0n4njhc,
613,,,A Ghost Story: Xiang Yun Temple,0.0,68.0,,,zh,1.098,0.0,0.0,0.0,,2017.0,"['Horror', ' Thriller']",614,,,,,,,,,,,
614,,,A Ghost Waits,0.0,80.0,,,en,1.413,14.0,5.4,0.0,,2020.0,"['Comedy', ' Horror', ' Romance']",615,,,,,,MacLeod Andrews,,,,,
816,,,A Romantic Ghost Story,0.0,82.0,,,en,0.6,1.0,5.0,0.0,,1988.0,['Horror'],817,,,,M,,Casey Affleck,,,,,North American
887,,,A Virgin Ghost,0.0,0.0,,,en,0.6,0.0,0.0,0.0,,1967.0,"['Horror', ' Mystery']",888,,,,,,Lim Chang-jung,,,,,
912,25992458.0,/m/0b6gn09,A Wicked Ghost,0.0,85.0,"['Cantonese', 'Standard Mandarin', 'Standard Cantonese']",['Hong Kong'],cn,5.022,4.0,5.5,0.0,山村老尸（系列）,1999.0,"['Horror', 'Chinese Movies']",913,/m/0b6gn09,,,,,Nelson Ngai,,/m/0g9h80b,,/m/0g9h80f,
913,25992848.0,/m/0b6lcyf,A Wicked Ghost II: The Fear,0.0,81.0,"['Standard Cantonese', 'Standard Mandarin', 'Cantonese']",['Hong Kong'],zh,0.627,0.0,0.0,0.0,山村老尸（系列）,2000.0,"['Horror', 'Chinese Movies']",914,/m/0b6lcyf,,1973-11-04,,,Angie Cheung,26.0,/m/0g9h5p9,,/m/04d5x0,
914,26026273.0,/m/0b6hm2g,A Wicked Ghost III: The Possession,,87.0,"['Standard Cantonese', 'Standard Mandarin', 'Cantonese']",['Hong Kong'],,,,,,,2002.0,"['Horror', 'Chinese Movies']",915,/m/0b6hm2g,,,,,Grace Lam,,/m/0g971yn,,/m/0g971yr,
933,,,A few pages from the life of a ghost,0.0,15.0,,,ru,0.6,4.0,5.8,0.0,,1992.0,"['Animation', ' Horror']",934,,,,M,,Oleg Tabakov,,,,,European
1075,,,Absolutely Scary Video 2: Ghost Murder Scene,0.0,60.0,,,ja,0.6,0.0,0.0,0.0,,2015.0,['Horror'],1076,,,,,,,,,,,
1272,,,Alabama's Ghost,0.0,96.0,,,en,0.77,6.0,4.7,0.0,,1973.0,"['Comedy', ' Horror']",1273,,,,,,Christopher Brooks,,,,,
1514,,,Alone in the Ghost House,0.0,82.0,,,en,1.846,4.0,5.5,0.0,,2015.0,['Horror'],1515,,,,,,Adam Scott Clevenger,,,,,
1711,,,An American Ghost Story,0.0,95.0,,,en,3.231,29.0,4.4,10000.0,,2012.0,['Horror'],1712,,,,,,,,,,,
2058,,,April Ghost Story,0.0,98.0,,,ja,1.71,0.0,0.0,0.0,,1988.0,"['Fantasy', ' Horror', ' Mystery', ' Romance']",2059,,,,,,,,,,,
2108,,,Archie: A Wee Ghost Story,0.0,12.0,,,en,0.6,1.0,2.0,0.0,,2012.0,"['Drama', ' Horror', ' Mystery']",2109,,,,,,Elizabeth Baillie,,,,,
2205,,,Asian Ghost Story,0.0,75.0,,,en,1.232,2.0,5.5,0.0,,2016.0,"['Action', ' Horror']",2206,,,,,,Michael de Roos,,,,,
2409,,,Autopsy of a Ghost,0.0,106.0,,,es,1.779,9.0,4.8,0.0,,1968.0,"['Comedy', ' Horror', ' Science Fiction']",2410,,,,,,,,,,,
2524,,,Baby Ghost,0.0,86.0,,,en,0.637,0.0,0.0,0.0,,1995.0,"['Comedy', ' Family', ' Horror']",2525,,,,,,Joe Estevez,,,,,North American
2602,,,Bad Ghost,0.0,112.0,,,en,0.6,0.0,0.0,200000.0,,2008.0,['Horror'],2603,,,,,,Keith Lee Morris,,,,,
2829,,,Bayou Ghost Story,0.0,73.0,,,en,0.6,1.0,8.0,0.0,,2017.0,"['Horror', ' Mystery']",2830,,,,,,Santo Panzarella,,,,,
2930,,,Bedwetting Beautiful Ghost?,0.0,80.0,,,id,0.6,1.0,1.0,0.0,,2016.0,['Horror'],2931,,,,,,,,,,,
3103,,,Beware of the Ghost/Demon,0.0,1.0,,,en,0.6,1.0,4.0,0.0,,2022.0,"['Animation', ' Fantasy', ' Horror']",3104,,,,M,,Forest Whitaker,,,,,North American
3106,,,Beware the Horror Ghost,0.0,6.0,,,en,0.6,2.0,0.5,0.0,,2014.0,"['Action', ' Adventure', ' Comedy', ' Horror']",3107,,,,,,D.J. Hennelly,,,,,
3402,,,Black Ghost,0.0,90.0,,,ko,0.6,0.0,0.0,0.0,,1976.0,['Horror'],3403,,,,,,Sean Schliwa,,,,,
3566,,,Blind Ghost,0.0,92.0,,,en,1.138,4.0,7.0,0.0,,2021.0,"['Horror', ' Thriller']",3567,,,,,,Alix Villaret,,,,,
5080,,,Chang Chen Ghost Stories,0.0,87.0,,,zh,0.6,0.0,0.0,0.0,,2016.0,"['Horror', ' Romance', ' Thriller']",5081,,,,,,Wing Fan,,,,,
5081,,,Chang Chen Ghost Stories: Be Possessed by Ghosts,0.0,87.0,,,zh,0.686,3.0,5.3,0.0,,2015.0,"['Horror', ' Mystery', ' Thriller']",5082,,,,,,Wing Fan,,,,,
5144,,,Cheng Chin-i's Ghost Story,0.0,93.0,,,zh,0.6,0.0,0.0,0.0,,1990.0,['Horror'],5145,,,,,,Wing Fan,,,,,
5243,,,Chinese Erotic Ghost Story,0.0,84.0,,,en,2.088,1.0,2.0,0.0,Erotic Ghost Story Collection,1998.0,['Horror'],5244,,,,F,,Amy Yip,,,,,Asian
5398,,,Classic Ghost Stories,0.0,14.0,,,en,0.6,0.0,0.0,0.0,,1986.0,['Horror'],5399,,,,M,,Robert Powell,,,,,European
