Unnamed: 0,Wikipedia movie ID,Freebase_ID,Name,Revenue,Runtime,Language_clean,Countries_clean,original_language,popularity,vote_count,vote_average,budget,collection_name,Release_year,Genres,ID,Freebase Movie ID,Character Name,Actor DOB,Actor gender,Actor height,Actor Name,Actor age at movie release,Freebase character map1,Freebase character map2,Freebase character map3,ethnicity_clean
66,,,1-900 Vampire,0.0,70.0,,,en,0.6,0.0,0.0,0.0,,2017.0,['Horror'],67,,,,M,,David Boreanaz,,,,,North American
328,,,400 Ways to Kill a Vampire,0.0,22.0,,,en,0.6,0.0,0.0,0.0,,2015.0,['Horror'],329,,,,,,Mina Edgerton,,,,,
414,,,7 Sins Of The Vampire,0.0,75.0,,,en,0.6,0.0,0.0,0.0,,2013.0,['Horror'],415,,,,,,Darla Albornoz,,,,,
767,,,A Nocturne: Night Of The Vampire,0.0,70.0,,,en,1.25,3.0,2.0,0.0,,2007.0,"['Drama', ' Horror']",768,,,,,,River Phoenix,,,,,North American
792,,,A Polish Vampire in Burbank,500000.0,84.0,,,en,1.49,6.0,5.7,3000.0,,1983.0,"['Comedy', ' Horror']",793,,,,,,Mark Pirro,,,,,
877,,,A Vampire's Tale,0.0,90.0,,,en,1.164,6.0,4.2,0.0,,2011.0,['Horror'],878,,,,M,,Doug Bradley,,,,,European
878,,,A Vampire's Tale,0.0,85.0,,,en,0.6,0.0,0.0,0.0,,2008.0,['Horror'],879,,,,M,,Doug Bradley,,,,,European
936,,,A vampire in the window,0.0,6.0,,,es,0.6,0.0,0.0,0.0,,2010.0,"['Comedy', ' Horror']",937,,,,F,,Erica Cerra,,,,,North American
1061,,,Abraham Lincoln Vampire Hunter: The Great Calamity,0.0,7.0,,,en,5.071,200.0,8.2,0.0,,2012.0,"['Animation', ' Fantasy', ' Horror']",1062,,,,M,,Benjamin Walker,,,,,North American
1063,30928961.0,/m/0gj8nq2,Abraham Lincoln: Vampire Hunter,109436965.0,105.0,['English'],['United States of America'],en,103.0,2855.0,5.7,69000000.0,,2012.0,"['Thriller', 'Action/Adventure', 'Action', 'Horror', 'Fantasy']",1064,/m/0gj8nq2,Mary Todd Lincoln,1984-11-28,F,1.74,Mary Elizabeth Winstead,27.0,/m/0gvwq4f,/m/05n7j2y,/m/073x6y,North American
1292,,,Aleta: Vampire Mistress,0.0,86.0,,,en,2.575,3.0,4.7,250000.0,,2012.0,"['Action', ' Fantasy', ' Horror']",1293,,,,,,Ange Maya,,,,,
1545,,,Alucardos: Portrait of a Vampire,0.0,88.0,,,es,1.285,5.0,3.4,0.0,,2011.0,"['Documentary', ' Horror']",1546,,,,F,,Noémie Merlant,,,,,European
1559,,,Amalanhig: The Vampire Chronicle,0.0,84.0,,,tl,0.6,1.0,9.0,0.0,,2017.0,['Horror'],1560,,,,,,Jerico Estregan,,,,,
1629,27545586.0,/m/0c02882,American Vampire,,99.0,['English'],['United States of America'],,,,,,,1997.0,"['Horror', 'Comedy']",1630,/m/0c02882,,1973-10-29,,,Trevor Lissauer,23.0,/m/0ggj7ll,,/m/026nrbb,
1663,,,Amityville Vampire,0.0,92.0,,,en,1.482,0.0,0.0,0.0,,2021.0,['Horror'],1664,,,,,,Jin N. Tonic,,,,,
1714,,,An American Vampire Story,0.0,99.0,,,en,2.592,8.0,4.0,0.0,,1997.0,"['Comedy', ' Horror']",1715,,,,,,Trevor Lissauer,,,,,
1726,,,An Erotic Vampire in Paris,0.0,79.0,,,en,1.108,4.0,2.8,0.0,,2002.0,"['Horror', ' Romance']",1727,,,,F,,Erin Brown,,,,,North American
1762,,,Anal Paprika 2: Vampire Killers,0.0,53.0,,,en,0.6,0.0,0.0,0.0,,2000.0,"['Comedy', ' Horror']",1763,,,,,,Teen Ape,,,,,
2270,,,At Stake: Vampire Solutions,0.0,85.0,,,en,1.116,4.0,8.3,120000.0,,2012.0,"['Comedy', ' Horror']",2271,,,,,,Carl Pfeiffer Jr.,,,,,
2293,,,Atlanta Vampire Movie,0.0,110.0,,,en,1.75,0.0,0.0,10000.0,,2018.0,"['Comedy', ' Horror']",2294,,,,,,Chelsea Howard,,,,,
2297,6500990.0,/m/0g7s7w,Atom Age Vampire,0.0,105.0,"['Italian', 'English']",['Italy'],en,1.459,24.0,4.3,0.0,,1963.0,"['Science Fiction', 'Horror', 'Creature Film', 'Black-and-white']",2298,/m/0g7s7w,,1925-08-06,F,,Lilyan Chauvin,37.0,/m/04hv94h,,/m/07n2ps,European
2426,,,Avia: Vampire Hunter,0.0,0.0,,,en,0.748,4.0,3.3,0.0,,2005.0,['Horror'],2427,,,,,,Allison Valentino,,,,,
3261,,,Bikini Vampire Babes,0.0,90.0,,,en,0.6,0.0,0.0,0.0,,2010.0,"['Comedy', ' Horror']",3262,,,,,,Sharis Fajardo,,,,,
3273,,,Billy the Kid and the Green Baize Vampire,0.0,89.0,,,en,2.016,8.0,5.6,0.0,,1985.0,"['Comedy', ' Horror', ' Music', ' Western']",3274,,,,,,Phil Daniels,,,,,European
3511,,,Blade of the Vampire,0.0,0.0,,,en,0.6,0.0,0.0,0.0,,2006.0,['Horror'],3512,,,,,,Michael Taggart,,,,,
