Unnamed: 0,Wikipedia movie ID,Freebase_ID,Name,Revenue,Runtime,Language_clean,Countries_clean,original_language,popularity,vote_count,vote_average,budget,collection_name,Release_year,Genres,ID,Freebase Movie ID,Character Name,Actor DOB,Actor gender,Actor height,Actor Name,Actor age at movie release,Freebase character map1,Freebase character map2,Freebase character map3,ethnicity_clean
698,,,A Little Bit Zombie,0.0,87.0,,,en,6.248,55.0,5.3,0.0,,2012.0,"['Comedy', ' Horror', ' Science Fiction']",699,,,,,,Kristopher Turner,,,,,
928,,,A Zombie Claymation,0.0,3.0,,,en,0.6,3.0,5.7,0.0,,2011.0,"['Animation', ' Horror']",929,,,,,,,,,,,
929,,,A Zombie Croc: Evil Has Been Summoned,0.0,86.0,,,en,0.6,0.0,0.0,0.0,,2015.0,['Horror'],930,,,,,,Crystal Howell,,,,,
930,,,A Zombie Exorcism,0.0,50.0,,,da,8.466,7.0,4.7,9500.0,,2010.0,"['Action', ' Drama', ' Horror']",931,,,,,,Marie Frohmé Vanglund,,,,,
931,,,A Zombie Invasion,0.0,88.0,,,en,0.966,4.0,5.0,0.0,,2012.0,['Horror'],932,,,,,,Robert Pralgo,,,,,
932,,,A Zombie Movie,0.0,90.0,,,en,0.6,0.0,0.0,0.0,,2009.0,"['Comedy', ' Horror']",933,,,,,,Sam Suchmann,,,,,
1359,,,Alien Zombie Invasion,0.0,84.0,,,en,0.855,0.0,0.0,0.0,,2011.0,"['Documentary', ' Horror', ' Science Fiction']",1360,,,,,,Larry Jack Dotson,,,,,
1632,,,American Zombie,0.0,90.0,,,en,2.838,26.0,4.5,0.0,,2007.0,"['Comedy', ' Documentary', ' Horror']",1633,,,,,,Austin Basis,,,,,
1708,,,An Accidental Zombie (Named Ted),0.0,83.0,,,en,3.954,8.0,4.5,0.0,,2017.0,"['Comedy', ' Horror', ' Romance']",1709,,,,,,Cameron McKendry,,,,,
1933,,,Anonymous Zombie,0.0,0.0,,,en,1.014,2.0,4.0,0.0,,2018.0,"['Comedy', ' Horror']",1934,,,,,,James Mullinger,,,,,
2294,,,Atlanta Zombie Apocalypse,0.0,40.0,,,en,0.625,1.0,10.0,0.0,,2014.0,"['Comedy', ' Horror']",2295,,,,,,Jasmine Kaur,,,,,
2298,,,Atom the Amazing Zombie Killer,0.0,80.0,,,en,1.649,3.0,5.7,0.0,,2012.0,"['Comedy', ' Horror']",2299,,,,,,Tom Autry,,,,,
3222,28033881.0,/m/0cm8gyn,Big Tits Zombie,0.0,73.0,['Japanese'],['Japan'],ja,5.775,34.0,5.0,0.0,,2010.0,"['Zombie Film', 'Japanese Movies', 'Horror']",3223,/m/0cm8gyn,,1983-11-11,F,1.55,Sora Aoi,26.0,/m/0djv6pt,,/m/051w39,Asian
3288,1844566.0,/m/060fsp,Bio Zombie,0.0,90.0,['Cantonese'],['Hong Kong'],cn,3.413,38.0,6.0,0.0,,1998.0,"['Horror', 'World cinema', 'Comedy film', 'Comedy', 'Zombie Film', 'Chinese Movies', 'Horror Comedy']",3289,/m/060fsp,,,,,Guy Lai,,/m/0gdl53j,,/m/0gdkx8h,
4316,,,Bride Zombie,0.0,5.0,,,en,0.6,0.0,0.0,0.0,,2015.0,"['Comedy', ' Horror']",4317,,,,,,Hironari Kubota,,,,,
4630,,,Calamity of a Zombie Girl,0.0,79.0,,,ja,1.975,3.0,4.3,0.0,,2018.0,"['Action', ' Animation', ' Horror']",4631,,,,,,Saori Hayami,,,,,Asian
6146,,,Cupcake: A Zombie Lesbian Musical,0.0,18.0,,,en,0.6,0.0,0.0,0.0,,2011.0,"['Comedy', ' Horror']",6147,,,,,,Anna Kidd,,,,,
7871,23256368.0,/m/066023d,Die You Zombie Bastards!,0.0,99.0,[],[],en,2.233,11.0,3.6,150000.0,,2005.0,"['Horror', 'Comedy film', 'Fantasy', 'Science Fiction']",7872,,,,,,Tim Gerstmar,,,,,
7945,,,Disaster L.A.: The Last Zombie Apocalypse Begins Here,0.0,82.0,,,en,5.527,124.0,5.6,0.0,,2014.0,"['Action', ' Horror', ' Science Fiction']",7946,,,,,,Justin Ray,,,,,
8756,,,Eat Me: A Zombie Musical,0.0,84.0,,,en,0.6,0.0,0.0,0.0,,2009.0,"['Horror', ' Music']",8757,,,,,,Lance Brenner,,,,,
9124,,,Enter... Zombie King!,0.0,76.0,,,en,1.535,9.0,3.7,0.0,,2003.0,['Horror'],9125,,,,,,Jules Delorme,,,,,
9195,,,Escape from Zombie City,0.0,5.0,,,es,0.886,0.0,0.0,0.0,,2017.0,"['Horror', ' Science Fiction']",9196,,,,M,,Kurt Russell,,,,,North American
9881,,,Female Mercenaries 2: The Mad Doctor of Zombie Island!,0.0,0.0,,,en,0.6,0.0,0.0,0.0,,2008.0,['Horror'],9882,,,,,,,,,,,
9882,,,Female Mercenaries on Zombie Island,0.0,113.0,,,en,0.629,1.0,3.0,0.0,,1995.0,"['Action', ' Horror']",9883,,,,,,Pamela Sutch,,,,,
10662,,,G-Zombie,0.0,116.0,,,te,5.086,31.0,5.3,0.0,,2021.0,"['Comedy', ' Fantasy', ' Horror']",10663,,,,,,Lokesh Achari,,,,,
10731,,,Ganha: Zombie Invasion,0.0,76.0,,,he,0.628,1.0,4.0,0.0,,2016.0,"['Adventure', ' Comedy', ' Family', ' Horror', ' Thriller', ' TV Movie']",10732,,,,,,Michael Berson,,,,,
10773,,,Gay Zombie,0.0,20.0,,,en,3.456,9.0,4.1,23000.0,,2007.0,"['Comedy', ' Horror']",10774,,,,,,Anna Walman,,,,,
10819,,,George: A Zombie Intervention,0.0,93.0,,,en,1.792,3.0,5.0,0.0,,2009.0,['Horror'],10820,,,,,,Peter Stickles,,,,,
11028,,,Ghost Zombie,0.0,70.0,,,ja,4.173,3.0,6.3,0.0,,2007.0,['Horror'],11029,,,,,,Silu Seppälä,,,,,
11126,,,Ghoul Scout Zombie Massacre,0.0,100.0,,,en,0.77,3.0,5.7,150000.0,,2018.0,"['Comedy', ' Horror']",11127,,,,,,Joshua Cheramie,,,,,
11362,,,"Gore-met, Zombie Chef from Hell",0.0,90.0,,,en,1.171,6.0,1.8,0.0,,1986.0,"['Comedy', ' Crime', ' Horror']",11363,,,,,,Theo Depuay,,,,,
11452,,,Graveyard Alive: A Zombie Nurse in Love,0.0,80.0,,,en,1.734,8.0,5.3,0.0,,2003.0,"['Comedy', ' Horror']",11453,,,,,,Anne Day-Jones,,,,,
11634,,,H.I.Z. (Erection Der Zombie),0.0,26.0,,,en,0.6,0.0,0.0,0.0,,2007.0,"['Comedy', ' Horror']",11635,,,,,,,,,,,
11689,,,Hairmetal Shotgun Zombie Massacre: The Movie,0.0,90.0,,,en,0.847,0.0,0.0,0.0,,2016.0,"['Comedy', ' Horror']",11690,,,,,,James Bonifant,,,,,
11877,,,"Happy Birthday, Mr. Zombie",0.0,7.0,,,fr,0.6,0.0,0.0,0.0,,2012.0,"['Comedy', ' Horror']",11878,,,,,,Marc De Roy,,,,,
12525,,,High School Girl Zombie,0.0,87.0,,,en,0.6,0.0,0.0,0.0,,2010.0,"['Action', ' Horror']",12526,,,,,,Eiichirô Funakoshi,,,,,
12855,,,Hopping Vampire Vs. Zombie,0.0,62.0,,,zh,0.6,0.0,0.0,0.0,,2015.0,"['Comedy', ' Horror']",12856,,,,,,Jingchuan Xu,,,,,
13130,,,Housewife Alien vs. Gay Zombie,0.0,95.0,,,en,0.715,2.0,3.5,0.0,,2017.0,"['Comedy', ' Horror']",13131,,,,,,Anna Walman,,,,,
13142,,,How to Become a Zombie,0.0,8.0,,,en,0.6,0.0,0.0,0.0,,2017.0,"['Comedy', ' Fantasy', ' Horror']",13143,,,,,,Gabriele Bocchio,,,,,
13146,,,How to Kill a Zombie,0.0,91.0,,,en,1.188,1.0,6.0,20.0,,2014.0,"['Comedy', ' Horror']",13147,,,,,,Bill Steven McLean,,,,,
13434,,,I Survived a Zombie Holocaust,0.0,104.0,,,en,2.898,30.0,5.5,0.0,,2014.0,"['Comedy', ' Horror']",13435,,,,,,Harley Neville,,,,,
13440,2111318.0,/m/06mww8,I Walked with a Zombie,,69.0,['English'],['United States of America'],,,,,,,1943.0,"['Zombie Film', 'Horror', 'Black-and-white', 'Supernatural']",13441,/m/06mww8,,1909-11-26,F,1.64,Frances Dee,33.0,/m/0jzr34,,/m/02lqz4,North American
13453,8921890.0,/m/027pt1j,I Was a Teenage Zombie,0.0,91.0,['English'],['United States of America'],en,1.253,16.0,4.6,0.0,,1987.0,"['Horror', 'Comedy', 'Zombie Film', 'B-movie', 'Teen', 'Horror Comedy']",13454,/m/027pt1j,,1910-10-25,,,Ignacio F. Iquino,,/m/02vcd8c,,/m/07tnpb,European
13454,,,I Was a Zombie for the F.B.I.,0.0,75.0,,,en,0.6,5.0,3.4,0.0,,1982.0,"['Comedy', ' Horror', ' Science Fiction']",13455,,,,,,Larry Raspberry,,,,,
13497,2886917.0,/m/089707,"I, Zombie",,79.0,['English'],['United Kingdom'],,,,,,,1999.0,"['Zombie Film', 'Drama', 'Horror', 'Creature Film']",13498,/m/089707,Sarah,1969-03-08,,,Ellen Softley,30.0,/m/0gdl7_v,/m/0l74cwc,/m/0gdklt0,
13498,,,"I, Zombie: The Chronicles of Pain",0.0,79.0,,,en,1.781,14.0,5.0,0.0,,1998.0,"['Drama', ' Horror']",13499,,,,,,Giles Aspen,,,,,
14411,,,Jesus H. Zombie,0.0,47.0,,,en,0.931,1.0,4.0,1000.0,,2006.0,"['Comedy', ' Horror', ' Science Fiction']",14412,,,,,,Dah-uh Morrow,,,,,
14523,,,Juken Zombie,0.0,60.0,,,ja,1.4,0.0,0.0,0.0,,2019.0,"['Drama', ' Horror']",14524,,,,,,Laurie Paul Calvert,,,,,
14599,,,KL Zombie,0.0,97.0,,,ms,1.595,9.0,6.0,0.0,,2013.0,"['Comedy', ' Horror', ' Thriller']",14600,,,,F,,Rose McIver,,,,,Australian
14687,,,Kampung Zombie,0.0,81.0,,,id,0.6,0.0,0.0,0.0,,2015.0,['Horror'],14688,,,,,,Awie,,,,,
14878,,,Kill Zombie!,0.0,90.0,,,nl,3.331,34.0,4.6,500000.0,,2012.0,"['Comedy', ' Horror']",14879,,,,M,,Yahya Gaier,,,,,African
15198,,,Kung Fu Zombie,0.0,99.0,,,cn,2.93,9.0,5.3,0.0,,1981.0,"['Action', ' Comedy', ' Horror']",15199,,,,,,Billy Chong,,,,,
15255,24061146.0,/m/07kd3kl,L.A. Zombie,,103.0,['English'],"['United States of America', 'France', 'Canada', 'Germany']",,,,,,,2010.0,"['LGBT', 'Science Fiction', 'B-movie', 'Adult', 'Experimental film', 'Gay pornography', 'Fantasy', 'Pornographic movie', 'Zombie Film', 'Horror']",15256,/m/07kd3kl,,1963-06-10,,,Tony Ward,46.0,/m/0gdk87d,,/m/0h1jxt,European
16000,,,Living a Zombie Dream,0.0,68.0,,,en,0.6,3.0,1.7,0.0,,1996.0,['Horror'],16001,,,,,,Amon Elsey,,,,,
16210,,,Love Zombie: Romance of the Dead,0.0,86.0,,,ja,0.644,0.0,0.0,0.0,,2015.0,['Horror'],16211,,,,,,Gungun,,,,,
16945,,,Me and My Mates vs. The Zombie Apocalypse,0.0,90.0,,,en,3.048,15.0,4.1,0.0,,2015.0,"['Comedy', ' Horror']",16946,,,,,,Jim Jefferies,,,,,
17131,,,Midget Zombie Takeover,10604.0,73.0,,,en,1.908,3.0,5.3,2000.0,,2013.0,"['Comedy', ' Horror']",17132,,,,,,Kristi McKay,,,,,
17343,,,Miss ZOMBIE,0.0,85.0,,,ja,6.003,33.0,6.1,0.0,,2013.0,"['Drama', ' Horror', ' Thriller']",17344,,,,,,Makoto Togashi,,,,,
17649,,,Morte e Morte de Johnny Zombie,0.0,0.0,,,pt,0.6,1.0,7.0,200.0,,2011.0,"['Horror', ' Science Fiction']",17650,,,,,,Joel Caetano,,,,,
17775,,,Mr. Zombie,0.0,94.0,,,ko,1.451,1.0,7.0,0.0,,2010.0,"['Comedy', ' Horror']",17776,,,,,,Siu-Ho Chin,,,,,
17776,,,Mr. Zombie,0.0,79.0,,,zh,1.034,0.0,0.0,0.0,,2021.0,"['Action', ' Fantasy', ' Horror']",17777,,,,,,Siu-Ho Chin,,,,,
17777,,,Mr. Zombie 2,0.0,88.0,,,zh,1.693,1.0,0.0,0.0,,2018.0,"['Action', ' Comedy', ' Fantasy', ' Horror']",17778,,,,,,Siu-Ho Chin,,,,,
17807,,,Mulva: Zombie Ass Kicker!,0.0,59.0,,,en,1.138,5.0,3.2,0.0,,2001.0,"['Action', ' Comedy', ' Horror']",17808,,,,,,Missy Donatuti,,,,,
17817,,,"Mummy, I'm a Zombie",1000000.0,88.0,,,es,4.55,36.0,7.2,64319.0,I'm A Zombie Collection,2014.0,"['Animation', ' Fantasy', ' Horror']",17818,,,,,,Rigoberta Bandini,,,,,
17985,,,My Fair Zombie,0.0,85.0,,,en,0.6,0.0,0.0,0.0,,2013.0,['Horror'],17986,,,,,,Sacha Gabriel,,,,,
18045,,,My Uncle John Is a Zombie!,0.0,90.0,,,en,1.263,0.0,0.0,1000000.0,,2017.0,"['Comedy', ' Horror']",18046,,,,,,Landon Bowser,,,,,
18161,,,Naked Zombie Girl,0.0,28.0,,,en,2.162,9.0,4.6,17000.0,,2014.0,"['Horror', ' Thriller']",18162,,,,,,Robbie Allen,,,,,
18195,,,Natural Born Zombie Killers,0.0,68.0,,,de,0.665,0.0,0.0,0.0,,1998.0,['Horror'],18196,,,,,,Thorsten Behnke,,,,,
18786,,,Ninja Zombie,0.0,85.0,,,en,1.375,1.0,10.0,0.0,,1992.0,"['Action', ' Horror']",18787,,,,,,John Beaton Hill,,,,,
18866,,,No. My Other Possessed-Zombie Girlfriend.,0.0,24.0,,,en,0.6,1.0,2.0,2000.0,,2006.0,['Horror'],18867,,,,,,Dave Aquino,,,,,
18949,,,Not Another Zombie Movie....About the Living Dead,15000.0,78.0,,,en,1.326,3.0,5.0,0.0,,2014.0,"['Comedy', ' Horror']",18950,,,,,,Jay Davis,,,,,
19240,,,Oh! My Zombie Mermaid,0.0,100.0,,,ja,1.4,2.0,5.5,0.0,,2004.0,"['Action', ' Comedy', ' Horror']",19241,,,,,,Shinya Hashimoto,,,,,Asian
20193,9385576.0,/m/0286sck,Plaga Zombie,,90.0,['Spanish'],['Argentina'],,,,,,,1997.0,"['Zombie Film', 'Science Fiction', 'Horror', 'World cinema']",20194,/m/0286sck,,1978-08-28,,,Pablo Parés,18.0,/m/02tb0my,,/m/0286t4n,Latino/Hispanic
20194,,,Plaga Zombie: American Invasion,0.0,105.0,,,en,1.6,1.0,5.0,0.0,,2021.0,"['Action', ' Comedy', ' Horror']",20195,,,,,,Benjamin Templar,,,,,
20195,9386426.0,/m/0286tcj,Plaga Zombie:Zona Mutante,,,['Spanish'],['Argentina'],,,,,,,2001.0,"['Zombie Film', 'Horror']",20196,/m/0286tcj,,1978-08-28,,,Pablo Parés,22.0,/m/02t9_rj,,/m/0286t4n,Latino/Hispanic
