Weekipedia_ID,Freebase_ID,Name,Release_date,Revenue,Runtime,Language,Countries,Genres,Release_year,Language_clean,Genres_clean,Countries_clean
18524941,/m/04f1_g9,Nudist Colony of the Dead,1991,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04t36"": ""Musical"", ""/m/03npn"": ""Horror"", ""/m/01z4y"": ""Comedy""}",1991.0,['English'],"['Musical', 'Horror', 'Comedy']",['United States of America']
2509881,/m/07jwzw,Critters 3,1991,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0hj3n7f"": ""Horror Comedy"", ""/m/0vgkd"": ""Black comedy""}",1991.0,['English'],"['Science Fiction', 'Horror', 'Sci-Fi Horror', 'Creature Film', 'Horror Comedy', 'Black comedy']",['United States of America']
26137128,/m/0b6dn1z,The Bone Snatcher,2003-12-23,,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0hzlz"": ""South Africa"", ""/m/0d060g"": ""Canada"", ""/m/02jx1"": ""England""}","{""/m/03npn"": ""Horror""}",2003.0,['English'],['Horror'],"['South Africa', 'Canada', 'England']"
27463222,/m/0c037x9,Vanishing on 7th Street,2010-09-12,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural"", ""/m/0hj3n4p"": ""Gothic Film"", ""/m/02n4kr"": ""Mystery"", ""/m/0c3351"": ""Suspense"", ""/m/01drsx"": ""Disaster""}",2010.0,['English'],"['Thriller', 'Horror', 'Supernatural', 'Gothic Film', 'Mystery', 'Suspense', 'Disaster']",['United States of America']
3249964,/m/0917bx,House by the River,1950-03-25,,85.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03npn"": ""Horror"", ""/m/07s9rl0"": ""Drama"", ""/m/02xh1"": ""Film noir""}",1950.0,['English'],"['Crime Fiction', 'Horror', 'Drama', 'Film noir']",['United States of America']
27874961,/m/04j0c3_,The Iron Rose,1973,,86.0,"{""/m/064_8sq"": ""French Language""}","{""/m/0f8l9c"": ""France""}","{""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/03q4nz"": ""World cinema""}",1973.0,['French'],"['Horror', 'Psychological thriller', 'World cinema']",['France']
5696825,/m/0d_ng1,The Dark Half,1993-04-23,,122.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/060__y"": ""Film adaptation"", ""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/0fdjb"": ""Supernatural""}",1993.0,['English'],"['Film adaptation', 'Horror', 'Psychological thriller', 'Supernatural']",['United States of America']
19389755,/m/04mzmq8,Asylum Seekers,2009,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/02n4kr"": ""Mystery"", ""/m/01z4y"": ""Comedy"", ""/m/0vgkd"": ""Black comedy""}",2009.0,['English'],"['Parody', 'Thriller', 'Horror', 'Indie', 'Mystery', 'Comedy', 'Black comedy']","['United States of America', 'United Kingdom']"
22308889,/m/04j1_9j,Ken Russell's Fall of the Louse of Usher,2002-02-03,,85.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/04q6sch"": ""Comedy horror"", ""/m/01q03"": ""Cult"", ""/m/04t36"": ""Musical"", ""/m/075qx_b"": ""C-Movie"", ""/m/07s9rl0"": ""Drama"", ""/m/0vgkd"": ""Black comedy"", ""/m/05p553"": ""Comedy film""}",2002.0,['English'],"['Science Fiction', 'Horror', 'Comedy horror', 'Cult', 'Musical', 'C-Movie', 'Drama', 'Black comedy', 'Comedy film']",['United Kingdom']
17379289,/m/043qtrq,Without Warning,1980-11-26,,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror""}",1980.0,['English'],"['Science Fiction', 'Horror']",['United States of America']
